section_code,slot_key,course_code,course_name,schedule_type,teacher,room_code
BCE-F-23-A,Mo1,CE-7DSD,Digital System Design,class,Usman Hameed,B-001
BCE-F-23-A,Mo2,CE-7ML,Machine Learning,class,Ayesha Sadiq,B-001
BCE-F-23-A,Mo3,CE-7FYP,Final Year Project-II,class,Dr. Ayesha Salman,B-203
BCE-F-23-A,Mo5,CE-7CIR,Contemporary International Relations,class,Awais Ali,B-006
BCE-F-23-A,Tu3,CE-7CAD,Cloud and Distributed Computing Laboratory,lab,Maryam Sheikh,Signal & Image Processing Lab
BCE-F-23-A,Tu4,CE-7CAD,Cloud and Distributed Computing Laboratory,lab,Maryam Sheikh,Signal & Image Processing Lab
BCE-F-23-A,Tu5,CE-7CAD,Cloud and Distributed Computing,class,Dr. Fawad Salam Khan,B-001
BCE-F-23-A,Tu6,CE-7ML,Machine Learning,class,Ayesha Sadiq,B-005
BCE-F-23-A,We3,CE-7MLL,Machine Learning Laboratory,lab,Ayesha Sadiq,Computer Lab-21 (B Block Ground Floor)
BCE-F-23-A,We4,CE-7MLL,Machine Learning Laboratory,lab,Ayesha Sadiq,Computer Lab-21 (B Block Ground Floor)
BCE-F-23-A,We5,CE-7CIR,Contemporary International Relations,class,Awais Ali,B-006
BCE-F-23-A,We6,CE-7DSD,Digital System Design,class,Usman Hameed,B-001
BCE-F-23-A,Th1,CE-7DSD,Digital System Design Laboratory,lab,Usman Hameed,Signal & Image Processing Lab
BCE-F-23-A,Th2,CE-7DSD,Digital System Design Laboratory,lab,Usman Hameed,Signal & Image Processing Lab
BCE-F-23-A,Th4,ADVISORY,Advisory Class,class,Usman Hameed,B-004
BCE-F-23-A,Th5,CE-7CAD,Cloud and Distributed Computing,class,Dr. Fawad Salam Khan,B-004
BCE-F-23-B,Mo2,CE-7ML,Machine Learning,class,Maryam Sabir,B-004
BCE-F-23-B,Mo3,CE-7DSD,Digital System Design,class,Usman Hameed,B-001
BCE-F-23-B,Mo4,CE-7CIR,Contemporary International Relations,class,Awais Ali,B-006
BCE-F-23-B,Mo5,CE-7CAD,Cloud and Distributed Computing Laboratory,lab,Maryam Sheikh,Signal & Image Processing Lab
