slot_key,day_of_week,day_name,start_time,end_time,slot_type
Mo1,1,Monday,08:00,09:20,morning
Mo2,1,Monday,09:20,10:40,morning
Mo3,1,Monday,10:40,12:00,morning
Mo4,1,Monday,12:00,13:20,afternoon
Mo5,1,Monday,13:20,14:40,afternoon
Mo6,1,Monday,14:40,16:00,afternoon
Tu1,2,Tuesday,08:00,09:20,morning
Tu2,2,Tuesday,09:20,10:40,morning
Tu3,2,Tuesday,10:40,12:00,morning
Tu4,2,Tuesday,12:00,13:20,afternoon
Tu5,2,Tuesday,13:20,14:40,afternoon
Tu6,2,Tuesday,14:40,16:00,afternoon
We1,3,Wednesday,08:00,09:20,morning
We2,3,Wednesday,09:20,10:40,morning
We3,3,Wednesday,10:40,12:00,morning
We4,3,Wednesday,12:00,13:20,afternoon
We5,3,Wednesday,13:20,14:40,afternoon
We6,3,Wednesday,14:40,16:00,afternoon
Th1,4,Thursday,08:00,09:20,morning
Th2,4,Thursday,09:20,10:40,morning
Th3,4,Thursday,10:40,12:00,morning
Th4,4,Thursday,12:00,13:20,afternoon
Th5,4,Thursday,13:20,14:40,afternoon
Th6,4,Thursday,14:40,16:00,afternoon
Fr1,5,Friday,08:00,09:20,morning
Fr2,5,Friday,09:20,10:40,morning
Fr3,5,Friday,10:40,12:00,morning
Fr4,5,Friday,12:00,13:20,afternoon
Fr5,5,Friday,13:20,14:40,afternoon
Fr6,5,Friday,14:40,16:00,afternoon
